run_id,classifier_method,split_name,dataset_label,evaluation_status,n_cases,latency_mean_ms,latency_p95_ms,hitl_escalation_rate,estimated_cost_usd,git_commit,utc_timestamp
enriched_catalogue_with_rerank_check_20260824,flat_isco08_official_ilo2021_v1_enriched,validation,synthetic_or_operationally_realistic,measured,642,536.12,769.12,0.0514,0.0,48f8df6,2026-08-25T02:41:22.519861+00:00
enriched_catalogue_heldout_20260824,flat_isco08_official_ilo2021_v1_enriched,heldout,synthetic_or_operationally_realistic,measured,18747,50.66,72.52,0.05,0.0,48f8df6,2026-08-25T02:41:21.875139+00:00
enriched_e5large_heldout_20260824,flat_isco08_official_ilo2021_v1_enriched_e5large,heldout,synthetic_or_operationally_realistic,measured,18747,208.12,291.13,0.0501,0.0,48f8df6,2026-08-25T02:41:09.994429+00:00
